Tag;Attribute;Value;Offset;EndChar;NumChilds;IsaChild;Padre;ContenidoPadre
persName;;calisto;12;18;1;no;null;
persName;;melibea;22;28;1;no;null;
roleName;;siruientes;247;256;1;no;null;
roleName;;alcahuetas;260;269;1;no;null;
roleName;;autor;275;279;1;no;null;
placeName;;Milan;1220;1224;1;no;null;
roleName;;siruientes;1864;1873;1;no;null;
roleName;;hechizeras;1892;1901;1;no;null;
roleName;;auctor;1933;1938;1;no;null;
roleName;;filosofo;2146;2153;1;no;null;
roleName;;jurista;2369;2375;1;no;null;
roleName;;autor;3039;3043;1;no;null;
roleName;;autor;3118;3122;1;no;null;
placeName;;Salamanca;5120;5128;1;no;null;
roleName;;alcahueta;5374;5382;1;no;null;
roleName;;siruiente;5394;5402;1;no;null;
persName;;Dedalo;5558;5563;1;no;null;
roleName;;autor;5882;5886;1;no;null;
persName;;Jesu christo;5913;5924;2;no;null;
addName;;christo;5918;5924;1;no;persName;Jesu christo
persName;_deity;dios;6026;6029;1;no;null;
persName;_deity;dios;6212;6215;1;no;null;
roleName;;ladron;6645;6650;1;no;null;
persName;;Calisto;6717;6723;1;no;null;
persName;;Melibea;6727;6733;1;no;null;
persName;_deity;dios;6860;6863;1;no;null;
roleName;;alcahuetas;6914;6923;1;no;null;
roleName;;siruientes;6946;6955;1;no;null;
persName;;CAlisto;6968;6974;1;no;null;
persName;;Melibea;7124;7130;1;no;null;
persName;;Pleberio;7246;7253;1;no;null;
persName;;Alisa;7270;7274;1;no;null;
persName;;Calisto;7313;7319;1;no;null;
persName;;Celestina;7369;7377;1;no;null;
roleName;;siruientes;7407;7416;1;no;null;
persName;;calisto;7430;7436;1;no;null;
persName;;Calisto;7702;7708;1;no;null;
persName;;Melibea;7734;7740;1;no;null;
