Tag;Attribute;Value;Offset;EndChar;NumChilds;IsaChild;Padre;ContenidoPadre
persName;;calisto;12;18;1;no;null;
persName;;melibea;22;28;1;no;null;
roleName;;siruientes;247;255;1;no;null;
roleName;;autor;275;278;1;no;null;
persName;;pero;928;931;1;no;null;
placeName;;Milan;1220;1212;1;no;null;
persName;;pero;1673;1676;1;no;null;
roleName;;siruientes;1864;1848;1;no;null;
roleName;;auctor;1933;1914;1;no;null;
persName;;pero;1953;1956;1;no;null;
roleName;;jurista;2369;2345;1;no;null;
persName;;pero;2593;2596;1;no;null;
persName;;pero;2782;2785;1;no;null;
persName;;pero;2862;2865;1;no;null;
roleName;;autor;3039;3010;1;no;null;
roleName;;autor;3118;3089;1;no;null;
placeName;;Salamanca;5120;5107;1;no;null;
roleName;;inuentor;5221;5228;1;no;null;
persName;;Dedalo;5536;5541;1;no;null;
persName;;Terenciana;5693;5702;1;no;null;
roleName;;autor;5882;5863;1;no;null;
persName;;Jesu;5913;5893;1;no;null;
persName;_deity;dios;6026;6012;1;no;null;
persName;_deity;dios;6212;6199;1;no;null;
roleName;;ladron;6645;6670;1;no;null;
persName;; Calisto;6717;6748;1;no;null;
persName;;Melibea;6727;6758;1;no;null;
persName;_deity;dios;6860;6886;1;no;null;
roleName;;alcahuetas;6914;6947;1;no;null;
roleName;;siruientes;6946;6979;1;no;null;
persName;;CAlisto;6968;6999;1;no;null;
persName;;Melibea;7124;7150;1;no;null;
roleName;_family;padre;7258;7262;1;no;null;
roleName;_family;madre;7272;7276;1;no;null;
persName;;Calisto;7313;7320;1;no;null;
persName;nickname;Celestina;7369;7377;1;no;null;
roleName;;siruientes del;7407;7420;1;no;null;
persName;;calisto;7430;7436;1;no;null;
persName;;Calisto;7702;7706;1;no;null;
persName;;Melibea;7734;7738;1;no;null;
