Tag;Attribute;Value;Offset;EndChar;NumChilds;IsaChild;Padre;ContenidoPadre
persName;;Lazarillo deTormes;204;222;2;no;null;
geogName;;Tormes;217;222;1;no;persName;Lazarillo de Tormes
placeName;;Alcala de Henares;352;368;1;no;null;
persName;;Salzedo;382;396;2;no;null;
persName;;Plinio;723;728;1;no;null;
persName;;Tullio;1400;1405;1;no;null;
roleName;;soldado;1452;1458;1;no;null;
roleName;honorific;sen~or don;1878;1887;1;no;persName;sen~or don fulano
persName;;Parcial;2729;2736;1;no;null;
persName;;Lazaro;2909;2914;1;no;null;
persName;;Lazaro de Tormes hijo deThome Gonc'ales, y de Antona Perez;3000;3058;4;no;null;
geogName;;Tormes;3010;3015;1;no;persName;Lazaro de Tormes hijo de  Thome Gonc'ales, y de Antona Perez
roleName;_family;hijo deThome Gonc'ales, y de Antona Perez;3017;3058;4;no;persName;Lazaro de Tormes hijo de Thome Gonc'ales, y de Antona Perez
persName;;Thome Gonc'ales;3025;3039;1;no;roleName;hijo de  Thome Gonc'ales, y de Antona Perez
persName;;Antona Perez;3047;3058;1;no;roleName;hijo de  Thome Gonc'ales, y de Antona Perez
placeName;;Tejares;3073;3079;1;no;null;
placeName;;Salamanca;3091;3099;1;no;null;
geogName;;rio Tormes;3132;3141;1;no;null;
roleName;_family;padre;3206;3210;1;no;null;
persName;_deity;Dios;3216;3219;1;no;null;
roleName;_family;madre;3367;3371;1;no;null;
roleName;_family;padre;3554;3558;1;no;null;
persName;_deity;Dios;3725;3728;1;no;null;
orgName;_collective;moros;3842;3846;1;no;null;
roleName;_family;padre;3873;3877;1;no;null;
roleName;;cauallero;3967;3975;1;no;null;
roleName;;sen~or;4000;4005;1;no;null;
roleName;;criado;4017;4022;1;no;null;
roleName;_family;madre;4087;4091;1;no;null;
roleName;_family;marido;4102;4107;1;no;null;
roleName;;estudiantes;4275;4285;1;no;null;
roleName;;Comendador dela Magdalena;4338;4362;2;no;null;
placeName;;Magdalena;4354;4362;1;no;roleName;Comendador dela Magdalena
roleName;_family;madre;4977;4981;1;no;null;
roleName;_family;padrastro;5102;5110;1;no;null;
roleName;_family;madre;5163;5167;1;no;null;
roleName;_family;madre;5257;5261;1;no;null;
roleName;_family;Madre;5295;5299;1;no;null;
roleName;;mayordomo;5591;5599;1;no;null;
roleName;;clerigo;5935;5941;1;no;null;
roleName;;frayle;5953;5958;1;no;null;
roleName;_family;madre;6293;6297;1;no;null;
roleName;_family;padrastro;6335;6343;1;no;null;
roleName;_family;madre;6375;6379;1;no;null;
roleName;;Comendador;6501;6510;1;no;null;
placeName;;Solana;6769;6575;1;no;null;
roleName;_family;madre;7083;7087;1;no;null;
roleName;_family;hijo;7136;7139;1;no;null;
persName;_deity;Dios;7243;7246;1;no;null;
