Tag;Attribute;Value;Offset;EndChar;NumChilds;IsaChild
roleName;honorific;Senores;21;27;1;no
persName;_nickname_deity;criador;620;647;1;no
roleName;;Rey;729;755;1;no
persName;;alexandre;886;930;1;no
persName;;Rey de grec'ia;915;956;2;no
placeName;;grec'ia;922;1036;1;no
roleName;;Reys;1001;947;1;no
persName;;jnfante alexandre;1077;1120;2;no
roleName;;jnfante;1077;1110;1;no
roleName;_family;mugier;1199;1225;1;no
geogName;;tierra de;1614;1668;1;no
persName;;alexandre;1745;1805;1;no
roleName;_family;fijos;1814;28741;1;no
persName;;Felippo;2224;2296;1;no
persName;;infante magar;2316;2396;2;no
placeName;;leon;2440;2464;1;no
roleName;;infante;2511;2390;1;no
roleName;;criado;2576;2602;1;no
persName;;hercules;2618;2705;1;no
roleName;_family;padre;2654;2743;1;no
roleName;;maestros;2700;28741;1;no
placeName;;grec'ia;2766;28741;1;no
roleName;;maestros;2971;28741;1;no
persName;;maestre natanao;3216;3331;2;no
roleName;;maestre;3216;3323;1;no
roleName;_family;fijo;3264;28741;1;no
roleName;;infante;3338;3449;1;no
roleName;_family;ffijo;3453;28741;1;no
roleName;_family;padre;3467;28741;1;no
persName;_deity;dios;3474;3589;1;no
roleName;_family;avuelos;3636;28741;1;no
persName;;reys de grec'ia;3679;3812;2;no
roleName;;reys de;3687;3804;1;no
persName;;Rey de babilon;3742;3877;2;no
roleName;;Rey de;3749;3869;1;no
persName;;infante alexandre;3845;3986;2;no
roleName;;infante;3845;3976;1;no
persName;;Rey alexandre;4476;4635;2;no
roleName;;Rey;4476;4625;1;no
roleName;;infante;4524;4677;1;no
placeName;;leon;4707;4731;1;no
roleName;;infante;4833;4860;1;no
placeName;;leon;4896;4920;1;no
orgName;_collective;medos;4986;5148;1;no
persName;;Maestre aristotil;5040;5217;2;no
roleName;;Maestre;5040;5207;1;no
roleName;;criado;5212;5238;1;no
persName;;don aristotil;5260;5441;2;no
roleName;honorific;don;5260;5431;1;no
roleName;;criado;5427;5453;1;no
roleName;;maestro;5573;28741;1;no
roleName;;discipulo;5585;28741;1;no
roleName;;maestro;5623;28741;1;no
roleName;;maestro;5746;28741;1;no
roleName;;discipulo;5758;28741;1;no
roleName;_family;ffijo;5781;28741;1;no
persName;;Pero;5856;5880;1;no
roleName;;infante;5922;6119;1;no
roleName;;maestro;5933;28741;1;no
roleName;;maestro;6061;28741;1;no
roleName;;Maestro;6090;28741;1;no
roleName;_family;padre;6204;28741;1;no
roleName;;mestros;6250;28741;1;no
roleName;;actores;6561;28741;1;no
roleName;;maestro;6984;28741;1;no
roleName;;Rey;7169;7406;1;no
persName;;don aristotil;7327;7580;2;no
roleName;honorific;don;7327;7570;1;no
roleName;;infante;7417;7668;1;no
roleName;;infante;7497;7750;1;no
roleName;;doctor;7555;28741;1;no
persName;_deity;criador;7635;7895;1;no
persName;_nickname_deity;criador;7635;28741;1;no
roleName;;maestro;7701;28741;1;no
persName;;don aristotil;7836;8109;2;no
roleName;;don;7836;8099;1;no
roleName;_family;ffijo;8005;28741;1;no
roleName;;rey;8019;8286;1;no
persName;_deity;dios;8492;8776;1;no
persName;_deity;dios;8721;9011;1;no
roleName;_family;ffijo;9087;28741;1;no
roleName;;vassallos;9099;28741;1;no
roleName;_family;ffijo;9256;28741;1;no
persName;;Ector;9982;10314;1;no
persName;;diomedes;9990;10325;1;no
persName;;achilles;10079;10416;1;no
roleName;;messaiero;10396;28741;1;no
roleName;;fidalgo;10419;28741;1;no
roleName;;cauallero;10491;28741;1;no
persName;_deity;dios;11125;11489;1;no
persName;_deity;dios;11365;11738;1;no
persName;_deity;dios;12227;12627;1;no
persName;_deity;dios;12608;13019;1;no
roleName;;infante;12969;13397;1;no
placeName;;dario;13168;13601;1;no
geogName;;tierra de;13340;13790;1;no
placeName;;India;13359;28741;1;no
placeName;;egipto;13367;28741;1;no
geogName;;tierra de;13378;13836;1;no
placeName;;Affrica;13394;28741;1;no
placeName;;marruecos;13404;28741;1;no
persName;;Rey carlos;13451;13915;2;no
roleName;;Rey;13451;13908;1;no
roleName;;infante;13570;14037;1;no
persName;;don mars;13593;14073;2;no
roleName;honorific;don;13593;14068;1;no
persName;;Janero;13956;13982;1;no
roleName;_family;madre;14227;14713;1;no
persName;;Rey felipo;14250;14742;2;no
roleName;;Rey;14250;14735;1;no
persName;;alexandre;14636;15141;1;no
placeName;;leon;15413;15437;1;no
roleName;;emperador;16139;16705;1;no
persName;;Rey philippo;16159;16727;2;no
roleName;;Rey;16159;16718;1;no
roleName;;Rey;17150;17652;1;no
roleName;_family;madre;17267;17745;1;no
