Tag;Attribute;Value;Offset;EndChar;NumChilds;IsaChild
persName;nickName;myo c'id;232;240;1;no
persName;nickName;myo c'id;279;287;1;no
persName;_nickName_deity;sennor padre;319;331;2;no
roleName;;sennor;300;306;1;no
placeName;;exida de biuar;451;465;1;no
placeName;;burgos;497;503;1;no
persName;nickName;myo c'id;532;540;1;no
persName;;albarffanez;582;593;1;no
persName;;Myo c'id Ruy diaz;621;638;1;no
placeName;;burgos;643;649;1;no
persName;_deity;Dios;857;861;1;no
roleName;;vassalo;871;878;1;no
persName;;Rey don alfonsso;952;968;2;no
roleName;;Rey don;952;959;2;no
roleName;honorific;don;956;940;1;no
placeName;;burgos;1015;1021;1;no
persName;;myo c'id Ruy diaz;1090;1107;2;no
addName;nickName;myo c'id;1090;1098;1;no
persName;nickName;myo c'id;1323;1331;1;no
persName;nickName;El campeador;1355;1367;1;no
persName;;Rey alfonsso;1449;1461;2;no
roleName;;Rey;1449;1452;1;no
persName;nickName;myo c'id;1557;1569;1;no
persName;nickName;myo c'id;1639;1647;1;no
persName;nickName;campeador;1798;1807;1;no
roleName;;Rey;1842;1845;1;no
persName;nickName;C'id;2047;2051;1;no
persName;_nickname_deity;criador;2097;2104;1;no
persName;_deity;santas Esto;2118;2129;2;no
roleName;;santas;2118;2124;1;no
persName;nickName;el c'id;2198;2205;1;no
roleName;;Rey;2211;2214;1;no
placeName;;burgos;2256;2262;1;no
placeName;;santa Maria Maria;2279;2296;1;no
geogName;;arlanc'on;2410;2419;1;no
persName;;Myo c'id Ruy diaz;2501;2518;2;no
addName;;Myo c'id;2501;2509;1;no
persName;nickName;myo c'id;2642;2650;1;no
placeName;;burgos;2707;2713;1;no
persName;;Martin antolinez;2799;2815;1;no
addName;nickName;myo c'id;2839;2847;1;no
persName;nickName;myo c'id;2981;2989;1;no
addName;nickName;el campeador;2990;3002;1;no
persName;;martin atolinez;3045;3060;1;no
persName;nickName;canpeador;3087;3096;1;no
persName;;Rey alffonsso;3242;3255;2;no
roleName;;Rey;3242;3245;1;no
roleName;;Rey;3326;3329;1;no
