Tag;Attribute;Value;Offset;EndChar;NumChilds;IsaChild
orgName;_collective;gri-egos;201;208;1;no
orgName;_collective;Troya-nos.;217;226;1;no
persName;;Jason;394;398;1;no
roleName;_family;fillo deheson;404;417;2;no
persName;;heson;413;417;1;no
persName;;heson;427;431;1;no
placeName;;Reg-node Thesalia;491;508;1;no
persName;;peleo;512;516;1;no
roleName;_family;hermano;521;527;1;no
persName;;pe-leo;537;542;1;no
persName;;Jason;554;558;1;no
roleName;_family;sobrino;563;569;1;no
persName;;Jason;823;827;1;no
persName;;Jason;1101;1105;1;no
persName;;Pe-leo;1250;1255;1;no
persName;;Jason;1281;1285;1;no
persName;;Peleo;1409;1413;1;no
placeName;;ciudat de Thesalia;1447;1464;1;no
roleName;;ca-ualleros;1512;1522;1;no
persName;;Rey peleo;1547;1555;2;no
roleName;;Rey;1547;1549;1;no
persName;;Jason;1576;1580;1;no
roleName;;nobles;1612;1617;1;no
persName;;Rey Peleo;1690;1698;2;no
roleName;;Rey;1690;1692;1;no
persName;;Ja-son;1708;1713;1;no
roleName;_family;Nepot;1749;1753;1;no
placeName;;Regno de tesalia;1793;1808;1;no
roleName;_family;nepot;1906;1910;1;no
placeName;;Reg-node Thesalia;2002;2019;1;no
placeName;;Regnode thesalia;2233;2249;1;no
persName;;Rey Oe-thes;2660;2670;2;no
roleName;;Rey;2660;2662;1;no
placeName;;Regno de the-salia;3798;3815;1;no
persName;;Jason;3901;3905;1;no
roleName;;Rey;3960;3962;1;no
roleName;_family;tio;3967;3969;1;no
roleName;;no-bles;4015;4021;1;no
placeName;;thesalia;4034;4041;1;no
placeName;;frigia;4125;4130;1;no
placeName;;Reg-node troya;4143;4157;1;no
placeName;_facility;simeonta;4198;4205;1;no
persName;;laomedon;4219;4226;1;no
roleName;;Rey de Troya;4243;4254;2;no
placeName;;Troya;4250;4254;1;no
placeName;;frigia;4310;4315;1;no
persName;;Jason;4415;4419;1;no
persName;;Laomedon;4488;4495;1;no
roleName;;seny-or;4497;4503;1;no
persName;;Jason;5082;5086;1;no
persName;;laome-don;5269;5277;1;no
roleName;;senyor;5279;5284;1;no
placeName;;grecia;5564;5569;1;no
orgName;_collective;griegos;5624;5630;1;no
persName;;Jason;5967;5971;1;no
roleName;;Rey;6148;6150;1;no
roleName;;nobles;6204;6209;1;no
roleName;;Rey;6336;6338;1;no
roleName;;Ro-badores;6415;6424;1;no
roleName;;Rey;6577;6579;1;no
persName;;hercules;6847;6854;1;no
persName;;Jason;6948;6952;1;no
roleName;;Rey;7041;7043;1;no
roleName;;Rey;7565;7567;1;no
persName;;Ja-son;7580;7585;1;no
persName;;Ercules;7596;7602;1;no
roleName;;no-ble;7637;7642;1;no
roleName;;Rey;7761;7763;1;no
roleName;;misagero;8140;8147;1;no
orgName;_collective;griegos;8189;8195;1;no
roleName;;Rey;8230;8232;1;no
persName;;Jason;8258;8262;1;no
persName;;Oethes;8290;8295;1;no
roleName;;Rey;8389;8391;1;no
persName;;Jason;8402;8406;1;no
roleName;;Rey;8460;8462;1;no
persName;;Ja-son;8549;8554;1;no
persName;;Ercules;8562;8568;1;no
persName;;filla Medea;8587;8597;2;no
roleName;_family;filla;8587;8591;1;no
persName;;Jason;8674;8678;1;no
persName;;ercules;8687;8693;1;no
persName;;Jason;8764;8768;1;no
roleName;;Rey;8884;8886;1;no
persName;;ercules;8929;8935;1;no
persName;;Jason;8968;8972;1;no
persName;;medea;8977;8981;1;no
persName;;Medea;9086;9090;1;no
persName;;Jason;9108;9112;1;no
persName;;Jason;9136;9140;1;no
roleName;;noble;9395;9399;1;no
roleName;;noble;9460;9464;1;no
roleName;;no-ble;9477;9482;1;no
roleName;;noble;9540;9544;1;no
roleName;;noble;9566;9570;1;no
persName;;Jason;10239;10243;1;no
persName;;Medea;10304;10308;1;no
roleName;;noble;10468;10472;1;no
persName;;medea;10788;10792;1;no
persName;;Jason;10821;10825;1;no
persName;;Jason;10834;10838;1;no
