Tag;Attribute;Value;Offset;EndChar;NumChilds;IsaChild;
roleName;honorific;Senores;21;27;1;no;
persName;_nickname_deity;criador;620;626;1;no;
roleName;;Rey;729;731;1;no;
roleName;;escriuano;869;877;1;no;
persName;;princ'epe alexandre;886;904;2;no;
roleName;;princ'epe;886;894;1;no;
roleName;;Rey de grec'ia;915;928;2;no;
placeName;;grec'ia;922;928;1;no;
persName;;poro;984;987;1;no;
persName;;darjo;991;995;1;no;
roleName;;Reys;1001;1004;1;no;
persName;;jnfante alexandre;1077;1093;2;no;
roleName;;jnfante;1077;1083;1;no;
roleName;_family;mugier;1199;1225;1;no;
roleName;_family;mugier;1199;27780;1;no;
roleName;;infant;1285;1290;1;no;
geogName;;tierra de egipto;1614;1629;1;no;
persName;;alexandre;1745;1753;1;no;
roleName;_family;fijos;1814;1818;1;no;
roleName;;condes;1829;1834;1;no;
persName;;Felippo;2224;2230;1;no;
persName;;olimpias;2234;2241;1;no;
roleName;_family;parientes;2256;2264;1;no;
roleName;;infante;2316;2322;1;no;
roleName;;infant;2511;2516;1;no;
persName;;hercules;2618;2625;1;no;
roleName;_family;padre;2654;2658;1;no;
roleName;;maestros;2700;2707;1;no;
placeName;;grec'ia;2766;2772;1;no;
roleName;;maestros;2971;2978;1;no;
persName;;maestre natanao;3216;3230;2;no;
roleName;;maestre;3216;3222;1;no;
roleName;_family;fijo;3264;3267;1;no;
roleName;;infante;3338;3344;1;no;
roleName;_family;ffijo;3453;3457;1;no;
roleName;_family;padre;3467;3471;1;no;
persName;_deity;dios;3474;3477;1;no;
roleName;_family;avuelos;3636;3642;1;no;
roleName;;reys de grec'ia;3679;3693;2;no;
roleName;;grec'ia;3687;3693;1;no;
roleName;;vassallos tributarios;3715;3735;1;no;
roleName;;Rey de babilon;3742;3755;2;no;
roleName;;babilon;3749;3755;1;no;
persName;;dario;3772;3776;1;no;
persName;;infante alexandre;3845;3861;2;no;
roleName;;infante;3845;3851;1;no;
roleName;;maestro;4201;4207;1;no;
placeName;;Heuropa;4235;4241;1;no;
placeName;;asya;4277;4280;1;no;
persName;;dario;4289;4293;1;no;
roleName;;maestro;4399;4405;1;no;
persName;;Rey alexandre;4476;4488;2;no;
roleName;;Rey;4476;4478;1;no;
roleName;;infante;4524;4530;1;no;
roleName;;infante;4707;4713;1;no;
orgName;_collective;medos;4986;4990;1;no;
persName;;Maestre aristotil;5040;5056;2;no;
roleName;;Maestre;5040;5046;1;no;
persName;;don aristotil;5260;5272;2;no;
roleName;honorific;don;5260;5262;1;no;
roleName;;maestro;5573;5579;1;no;
roleName;;discipulo;5585;5593;1;no;
roleName;;maestro;5623;5629;1;no;
roleName;;maestro;5746;5752;1;no;
roleName;;discipulo;5758;5766;1;no;
roleName;_family;ffijo;5781;5785;1;no;
roleName;;infante;5922;5928;1;no;
roleName;;maestro;5933;5939;1;no;
roleName;;maestro;6061;6067;1;no;
roleName;;Maestro;6090;6096;1;no;
roleName;_family;padre;6204;6208;1;no;
roleName;;mestros;6250;6256;1;no;
roleName;;actores;6561;6567;1;no;
roleName;;maestro;6984;6990;1;no;
persName;;dario;7122;7126;1;no;
placeName;;grec'ia;7143;7149;1;no;
roleName;;Rey;7169;7171;1;no;
roleName;honorific;sennor;7239;7244;1;no;
persName;;poro;7288;7291;1;no;
persName;;dario;7295;7299;1;no;
persName;;don aristotil;7327;7339;2;no;
roleName;honorific;don;7327;7329;1;no;
roleName;;infante;7417;7423;1;no;
roleName;;infante;7497;7503;1;no;
roleName;;escolar;7535;7541;1;no;
roleName;;doctor;7555;7560;1;no;
persName;_nickname_deity;criador;7635;7641;1;no;
roleName;;maestro;7701;7707;1;no;
persName;;don aristotil;7836;7848;2;no;
roleName;honorific;don;7836;7838;1;no;
roleName;_family;ffijo;8005;8009;1;no;
roleName;;rey;8019;8021;1;no;
roleName;;uassallos;8238;8246;1;no;
persName;_deity;dios;8492;8495;1;no;
persName;_deity;dios;8721;8724;1;no;
roleName;;iuyz;8921;8924;1;no;
roleName;_family;ffijo;9087;9091;1;no;
roleName;;vassallos;9099;9107;1;no;
roleName;_family;ffijo;9256;9260;1;no;
persName;;Ector;9982;9986;1;no;
persName;;diomedes;9990;9997;1;no;
persName;;achilles;10079;10086;1;no;
roleName;;messaiero;10396;10404;1;no;
roleName;;fidalgo;10419;10425;1;no;
roleName;;cauallero;10491;10499;1;no;
persName;_deity;dios;11125;11128;1;no;
roleName;;princ'epe;11211;11219;1;no;
persName;_deity;dios;11365;11368;1;no;
persName;;dario;12158;12162;1;no;
persName;_deity;dios;12227;12230;1;no;
roleName;;vassallos;12585;12593;1;no;
persName;_deity;dios;12608;12611;1;no;
persName;;dario;12852;12856;1;no;
placeName;;grec'ia;12878;12884;1;no;
roleName;;infante;12969;12975;1;no;
persName;;dario;13168;13172;1;no;
persName;;poro;13178;13181;1;no;
roleName;;quarteros;13196;13204;1;no;
placeName;;tierra de babilon;13340;13356;1;no;
placeName;;India;13359;13363;1;no;
placeName;;egipto;13367;13372;1;no;
placeName;;tierra de syon;13378;13391;1;no;
placeName;;Affrica;13394;13400;1;no;
placeName;;marruecos;13404;13412;1;no;
persName;;Rey carlos;13451;13460;2;no;
roleName;;Rey;13451;13453;1;no;
roleName;;infante;13570;13576;1;no;
persName;;don mars;13593;13600;2;no;
roleName;honorific;don;13593;13595;1;no;
roleName;;cauallero;13644;13652;1;no;
persName;;donna filosophia;13911;13926;2;no;
roleName;honorific;donna;13911;13915;1;no;
roleName;_family;madre;14227;14231;1;no;
persName;;Rey felipo;14250;14259;2;no;
roleName;;Rey;14250;14252;1;no;
persName;_deity;don vulcan;14426;14435;2;no;
roleName;honorific;don;14426;14428;1;no;
roleName;;mercador;14555;14562;1;no;
roleName;;clerigo;14569;14575;1;no;
persName;;alexandre;14636;14644;1;no;
roleName;_family;auuela;14661;14666;1;no;
placeName;;babilon;14951;14957;1;no;
persName;;dario;14974;14978;1;no;
roleName;;emperador;16139;16147;1;no;
persName;;Rey philippo;16159;16170;2;no;
roleName;;Rey;16159;16161;1;no;
roleName;;Cauallero;16605;16613;1;no;
roleName;;Rey;17150;17152;1;no;
roleName;_family;madre;17267;17271;1;no;
roleName;_family;padre;17308;17312;1;no;
roleName;;Rey;17353;17355;1;no;
roleName;;ladron;17371;17376;1;no;
roleName;;Rey;17682;17684;1;no;
name;;Buc'ifal;17904;17911;1;no;
roleName;;emperador;18167;18175;1;no;
placeName;;castiella;18348;18356;1;no;
roleName;;infante;18364;18370;1;no;
name;;Buc'ifal;18444;18451;1;no;
roleName;;infante;18535;18541;1;no;
persName;_deity;dios;18636;18639;1;no;
placeName;;grec'ia;19017;19023;1;no;
roleName;;infante;19058;19064;1;no;
placeName;;grec'ia;19183;19189;1;no;
roleName;;infante;19237;19243;1;no;
persName;_nickname_deity;criador;19521;19527;1;no;
roleName;;caualleros;19824;19833;1;no;
roleName;;caualleros;20000;20009;1;no;
roleName;;Rey;20102;20104;1;no;
roleName;;Rey;20188;20190;1;no;
roleName;;infant;20254;20259;1;no;
persName;;alexandre;20439;20447;1;no;
persName;;Felippo el Rey de grec'ia;20450;20474;2;no;
roleName;;Rey de grec'ia;20461;20474;2;no;
placeName;;grec'ia;20468;20474;1;no;
roleName;_family;padre;20488;20492;1;no;
persName;;Olimpias la Reyna;20495;20511;2;no;
roleName;;Reyna;20507;20511;1;no;
roleName;_family;madre;20525;20529;1;no;
persName;;nicolao;20769;20775;1;no;
persName;;alexandre;20811;20819;1;no;
persName;;nicholao;20943;20950;1;no;
persName;;infant alexandre;21104;21119;2;no;
roleName;;infant;21104;21109;1;no;
persName;;nicholao;21191;21198;1;no;
roleName;;infante;21448;21454;1;no;
roleName;;nicholao;21501;21508;1;no;
persName;;Nicholao;21591;21598;1;no;
roleName;;infante;21806;21812;1;no;
persName;;nicholao;21816;21823;1;no;no
persName;;don nicholao;21889;21901;2;;
roleName;honorific;don;21889;21891;1;no;
persName;;nicholao;22020;22027;1;no;
roleName;;infante;22051;22057;1;no;
persName;;nicholao;22136;22143;1;no;
name;;buc'ifal;22295;22302;1;no;
roleName;_family;padre;22330;22334;1;no;
roleName;;messagerios;22337;22347;1;no;
persName;;dario;22352;22356;1;no;
roleName;;notario;22434;22440;1;no;
roleName;;infante;22451;22457;1;no;
persName;;dario;22505;22509;1;no;
persName;;philippo;22547;22554;1;no;
roleName;_family;fijo;22557;22560;1;no;
roleName;;Reyna;22567;22571;1;no;
roleName;_family;fijo;22633;22636;1;no;
roleName;;messageros;22670;22679;1;no;
persName;;dario;22853;22857;1;no;
placeName;;yndia;22898;22902;1;no;
roleName;;messageros;23033;23042;1;no;
persName;;dario;23046;23050;1;no;
roleName;;infante;23066;23072;1;no;
roleName;_family;fijo darssamario;23125;23140;2;no;
persName;;arssamario;23131;23140;1;no;
roleName;;Rey;23205;23207;1;no;
roleName;;infante;23371;23377;1;no;
roleName;;escudero;23447;23454;1;no;
roleName;;cauallero;23537;23545;1;no;
roleName;;cauallero;23676;23684;1;no;
persName;;dario;24064;24068;1;no;
persName;_deity;dios;24245;24248;1;no;
persName;;alexandre;24566;24574;1;no;
roleName;_family;padre;24581;24585;1;no;
persName;_deity;dios;24624;24627;1;no;
roleName;_family;padre;24695;24699;1;no;
persName;_deity;dios;24702;24705;1;no;
persName;_deity;dios;24778;24781;1;no;
placeName;;Armenia;24853;24859;1;no;
roleName;;infante;25025;25031;1;no;
roleName;_family;nietos;25147;25152;1;no;
roleName;;infante;25365;25371;1;no;
roleName;;Reyna;25577;25581;1;no;
persName;;Pausona;25682;25688;1;no;
persName;_deity;dios;25708;25711;1;no;
persName;;Phelippo;25737;25744;1;no;
persName;;philippo;25866;25873;1;no;
persName;;olimpias;25893;25900;1;no;
roleName;_family;fijo;25974;25977;1;no;
persName;;Rey felipo;26096;26105;2;no;
roleName;;Rey;26096;26098;1;no;
persName;_deity;satanas;26310;26316;1;no;
persName;;Rey filipo;26471;26480;2;no;
roleName;;Rey;26471;26473;1;no;
persName;;pausona;26528;26534;1;no;
roleName;;rey;26645;26647;1;no;
persName;;olimpias;26703;26710;1;no;
roleName;;infante;26950;26956;1;no;
roleName;;infante;27102;27108;1;no;
roleName;;lifante;27192;27198;1;no;
roleName;;infante;27277;27283;1;no;
